Clamator coromandus	Chestnut-winged Cuckoo
Alauda arvensis/gulgula	Eurasian/Oriental Skylark
Ardenna carneipes	Flesh-footed Shearwater
Ichthyophaga ichthyaetus	Gray-headed Fish-Eagle
Otus lettia	Collared Scops-Owl
Aythya nyroca	Ferruginous Duck
Aegithalos iouschistos	Black-browed Tit
Anatidae sp.	waterfowl sp.
Cinclidium leucurum	White-tailed Robin
Xenus cinereus	Terek Sandpiper
Horornis flavolivaceus	Aberrant Bush-Warbler
Catreus wallichii	Cheer Pheasant
Accipiter butleri	Nicobar Sparrowhawk
Merops apiaster	European Bee-eater
Psittacula eupatria	Alexandrine Parakeet
Hydroprogne caspia	Caspian Tern
Elachura formosa	Spotted Elachura
Corvus macrorhynchos	Large-billed Crow
Dryocopus javensis	White-bellied Woodpecker
Aviceda leuphotes	Black Baza
Psilopogon malabaricus/haemacephalus	Malabar/Coppersmith Barbet
Anthus trivialis	Tree Pipit
Ardea alba	Great Egret
Acridotheres grandis	Great Myna
Rhyticeros undulatus	Wreathed Hornbill
Tarsiger chrysaeus	Golden Bush-Robin
Dendrocitta formosae	Gray Treepie
Carpodacus sp.	rosefinch sp.
Rynchops albicollis	Indian Skimmer
Locustella certhiola	Pallas's Grasshopper-Warbler
Dicrurus annectans	Crow-billed Drongo
Nisaetus cirrhatus	Crested Hawk-Eagle
Mycteria leucocephala	Painted Stork
Glareola sp.	pratincole sp.
Ichthyaetus ichthyaetus	Pallas's Gull
Zosterops palpebrosus	Oriental White-eye
Yuhina flavicollis	Whiskered Yuhina
Certhia himalayana	Bar-tailed Treecreeper
Lanius isabellinus	Isabelline Shrike
Dendrocitta leucogastra	White-bellied Treepie
Scolopacidae sp. (large shorebird sp.)	large shorebird sp.
Ploceus philippinus	Baya Weaver
Pyrrhula aurantiaca	Orange Bullfinch
Hydrobatidae sp.	storm-petrel sp.
Treron apicauda	Pin-tailed Pigeon
Vanellus cinereus	Gray-headed Lapwing
Zapornia pusilla	Baillon's Crake
Chloropsis cochinchinensis	Blue-winged Leafbird
Sitta himalayensis	White-tailed Nuthatch
Chroicocephalus genei	Slender-billed Gull
Emberiza sp.	Emberiza sp.
Calidris falcinellus	Broad-billed Sandpiper
Artamus fuscus	Ashy Woodswallow
Arborophila atrogularis	White-cheeked Partridge
Cyornis tickelliae	Tickell's Blue-Flycatcher
Ardenna tenuirostris	Short-tailed Shearwater
Platalea leucorodia	Eurasian Spoonbill
Hemicircus canente	Heart-spotted Woodpecker
Ardea alba/Mesophoyx intermedia	Great/Intermediate Egret
Francolinus gularis	Swamp Francolin
Spilornis klossi	Nicobar Serpent-Eagle
Monticola cinclorhynchus	Blue-capped Rock-Thrush
Centropus sp.	coucal sp.
Picus squamatus	Scaly-bellied Woodpecker
Pteruthius xanthochlorus	Green Shrike-Babbler
Hydrornis nipalensis	Blue-naped Pitta
Falco severus	Oriental Hobby
Calidris alba	Sanderling
Dicaeum agile	Thick-billed Flowerpecker
Clanga hastata	Indian Spotted Eagle
Onychoprion anaethetus	Bridled Tern
Calidris tenuirostris	Great Knot
Caprimulgus sp.	Caprimulgus sp.
Carduelis flavirostris	Twite
Picus chlorolophus	Lesser Yellownape
Eumyias thalassinus	Verditer Flycatcher
Dendrocopos nanus	Brown-capped Woodpecker
Hirundinidae sp.	swallow sp.
Psittiparus ruficeps	White-breasted Parrotbill
Anas sp. (teal sp.)	teal sp.
Thalasseus bengalensis	Lesser Crested Tern
Pelecanus crispus	Dalmatian Pelican
Aythya ferina	Common Pochard
Ducula sp.	imperial-pigeon sp.
Acridotheres ginginianus	Bank Myna
Circus aeruginosus	Eurasian Marsh-Harrier
Cacomantis merulinus/passerinus	Plaintive/Gray-bellied Cuckoo
Pomatorhinus superciliaris	Slender-billed Scimitar-Babbler
Pyrrhula nipalensis	Brown Bullfinch
Lerwa lerwa	Snow Partridge
Oenanthe oenanthe	Northern Wheatear
Iduna/Hippolais/Acrocephalus sp.	Iduna/Hippolais/Acrocephalus sp.
Dendrocopos auriceps	Brown-fronted Woodpecker
Pelecanus sp.	pelican sp.
Merops leschenaulti	Chestnut-headed Bee-eater
Phylloscopus occipitalis	Western Crowned Leaf Warbler
Tringa sp.	Tringa sp.
Alcippe ludlowi	Ludlow's Fulvetta
Oriolus traillii	Maroon Oriole
Phaenicophaeus viridirostris	Blue-faced Malkoha
Prinia atrogularis	Black-throated Prinia
Zoonavena sylvatica	White-rumped Needletail
Ficedula parva	Red-breasted Flycatcher
Ceryle rudis	Pied Kingfisher
Gallinago megala	Swinhoe's Snipe
Sitta cashmirensis	Kashmir Nuthatch
Chrysococcyx maculatus	Asian Emerald Cuckoo
Sula dactylatra	Masked Booby
Streptopelia orientalis	Oriental Turtle-Dove
Turdoides striata/affinis	Jungle/Yellow-billed Babbler
Napothera epilepidota	Eyebrowed Wren-Babbler
Stercorarius sp. (skua sp.)	skua sp.
Lonchura malacca	Tricolored Munia
Calandrella dukhunensis	Syke's Short-toed Lark
Ocyceros griseus	Malabar Gray Hornbill
Phylloscopus griseolus	Sulphur-bellied Warbler
Picumnus innominatus	Speckled Piculet
Niltava macgrigoriae	Small Niltava
Falco naumanni/tinnunculus	Lesser/Eurasian Kestrel
Spelaeornis longicaudatus	Tawny-breasted Wren-Babbler
Columba palumbus	Common Wood-Pigeon
Ianthocincla cineracea	Moustached Laughingthrush
Zoothera mollissima/salimalii	Alpine/Himalayan Thrush
Lonchura kelaarti	Black-throated Munia
Falco jugger	Laggar Falcon
Aquila rapax	Tawny Eagle
Megapodius nicobariensis	Nicobar Scrubfowl
Merops sp.	bee-eater sp.
Polyplectron germaini	Germain's Peacock-Pheasant
Stercorarius antarcticus	Brown Skua
Ichthyaetus hemprichii	Sooty Gull
Dicrurus andamanensis	Andaman Drongo
Podiceps nigricollis	Eared Grebe
Phoenicopterus roseus	Greater Flamingo
Circaetus gallicus	Short-toed Snake-Eagle
Cacomantis sonneratii	Banded Bay Cuckoo
Anser fabalis	Taiga Bean-Goose
Picus flavinucha	Greater Yellownape
Enicurus schistaceus	Slaty-backed Forktail
Sternula albifrons/saundersi	Little/Saunders's Tern
Tragopan blythii	Blyth's Tragopan
Gracula indica	Southern Hill Myna
Pycnonotus leucogenys	Himalayan Bulbul
Dinopium sp.	flameback sp.
Perdicula asiatica/argoondah	Jungle/Rock Bush-Quail
