Clamator coromandus	42
Alauda arvensis/gulgula	2
Ardenna carneipes	49
Ichthyophaga ichthyaetus	48
Otus lettia	27
Aythya nyroca	188
Aegithalos iouschistos	14
Anatidae sp.	55
Cinclidium leucurum	31
Xenus cinereus	221
Horornis flavolivaceus	37
Catreus wallichii	11
Accipiter butleri	1
Merops apiaster	17
Psittacula eupatria	527
Hydroprogne caspia	190
Elachura formosa	20
Corvus macrorhynchos	10495
Dryocopus javensis	174
Aviceda leuphotes	67
Psilopogon malabaricus/haemacephalus	12
Anthus trivialis	250
Ardea alba	3151
Acridotheres grandis	164
Rhyticeros undulatus	32
Tarsiger chrysaeus	28
Dendrocitta formosae	370
Carpodacus sp.	10
Rynchops albicollis	19
Locustella certhiola	9
Dicrurus annectans	21
Nisaetus cirrhatus	427
Mycteria leucocephala	1764
Glareola sp.	7
Ichthyaetus ichthyaetus	191
Zosterops palpebrosus	2820
Yuhina flavicollis	222
Certhia himalayana	223
Lanius isabellinus	143
Dendrocitta leucogastra	525
Scolopacidae sp. (large shorebird sp.)	3
Ploceus philippinus	1661
Pyrrhula aurantiaca	9
Hydrobatidae sp.	9
Treron apicauda	59
Vanellus cinereus	139
Zapornia pusilla	117
Chloropsis cochinchinensis	50
Sitta himalayensis	209
Chroicocephalus genei	76
Emberiza sp.	12
Calidris falcinellus	52
Artamus fuscus	1913
Arborophila atrogularis	30
Cyornis tickelliae	1460
Ardenna tenuirostris	1
Platalea leucorodia	708
Hemicircus canente	421
Ardea alba/Mesophoyx intermedia	97
Francolinus gularis	33
Spilornis klossi	3
Monticola cinclorhynchus	413
Centropus sp.	23
Picus squamatus	66
Pteruthius xanthochlorus	27
Hydrornis nipalensis	25
Falco severus	6
Calidris alba	118
Dicaeum agile	461
Clanga hastata	225
Onychoprion anaethetus	143
Calidris tenuirostris	22
Caprimulgus sp.	3
Carduelis flavirostris	27
Picus chlorolophus	471
Eumyias thalassinus	732
Dendrocopos nanus	671
Hirundinidae sp.	440
Psittiparus ruficeps	13
Anas sp. (teal sp.)	41
Thalasseus bengalensis	182
Pelecanus crispus	48
Aythya ferina	308
Ducula sp.	28
Acridotheres ginginianus	593
Circus aeruginosus	1260
Cacomantis merulinus/passerinus	2
Pomatorhinus superciliaris	25
Pyrrhula nipalensis	16
Lerwa lerwa	7
Oenanthe oenanthe	2
Iduna/Hippolais/Acrocephalus sp.	75
Dendrocopos auriceps	168
Pelecanus sp.	5
Merops leschenaulti	1268
Phylloscopus occipitalis	215
Tringa sp.	130
Alcippe ludlowi	24
Oriolus traillii	177
Phaenicophaeus viridirostris	863
Prinia atrogularis	33
Zoonavena sylvatica	145
Ficedula parva	460
Ceryle rudis	1955
Gallinago megala	3
Sitta cashmirensis	10
Chrysococcyx maculatus	13
Sula dactylatra	17
Streptopelia orientalis	629
Turdoides striata/affinis	1
Napothera epilepidota	14
Stercorarius sp. (skua sp.)	8
Lonchura malacca	756
Calandrella dukhunensis	27
Ocyceros griseus	1178
Phylloscopus griseolus	110
Picumnus innominatus	139
Niltava macgrigoriae	153
Falco naumanni/tinnunculus	3
Spelaeornis longicaudatus	2
Columba palumbus	6
Ianthocincla cineracea	3
Zoothera mollissima/salimalii	34
Lonchura kelaarti	229
Falco jugger	46
Aquila rapax	187
Megapodius nicobariensis	1
Merops sp.	97
Polyplectron germaini	1
Stercorarius antarcticus	3
Ichthyaetus hemprichii	1
Dicrurus andamanensis	54
Podiceps nigricollis	11
Phoenicopterus roseus	333
Circaetus gallicus	465
